mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
3	2	5	5	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
3	2	5	5	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	27	in	hand	ist						
3	2	6	6	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	28	der	das	mein						
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	29	Nacht,	Brot,	Leib,						
3	2	8	8	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	30	da-	und	der						
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	31									
3	2	6	6	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	32									
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	33									
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	34									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	35									
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	36									
3	2	6	6	0.75	1/4	1/4	Chord	4/4	2	1	3/16	1/8	3/2	37									
3	2	27/4	27/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	38									
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	39									
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	40									
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	41									
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	42									
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	43									
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	44									
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	45									
3	2	5	5	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	46									
3	2	6	6	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	47									
3	2	7	7	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	48									
3	2	8	8	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	49									
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	50									
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	51	-rin	brach's	für						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	52	er	mit	euch						
4	3	11	11	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	53	ward	sei-	wird						
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	54	ver-	-nen	ge-						
4	3	9	9	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	55									
4	3	19/2	19/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	56									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	57									
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	58									
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	59									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	60									
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	61									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	62									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	63									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	64									
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	65									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	66									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	67									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	68									
4	3	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	69									
4	3	10	10	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	70									
4	3	11	11	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	71									
4	3	12	12	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	72									
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
5	4	13	13	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	73	-ra-	Fin-	-ge-						
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
5	4	29/2	29/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	74	-then,	-gern,	-ben,						
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0	
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	75	auf	sah	und						
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	76									0
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	77									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	78									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	79									
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	80									1
5	4	14	14	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	81									1
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	82									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	83									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	84									
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	85									2
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	86									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	87									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	88									
5	4	13	13	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	89									3
5	4	14	14	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	90									
5	4	15	15	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	91									
5	4	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	92									
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	93	un-	auf	den-						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	94	-ser	gen	-ket,						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	95	Heil	Him-	dass						
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	96	war	-mel,	ich						
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	97									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	98									
6	5	19	19	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	99									
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	100									
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	101									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	102									
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	103									
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	104									
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	105									
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	106									
6	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	107									4
6	5	35/2	35/2	1.0	1/8	1/8	Chord	4/4	2	2	1/4	1/4	1	108									
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	109									
6	5	19	19	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	110									5
6	5	39/2	39/2	1.0	5/8	5/8	Chord	4/4	2	2	1/4	1/4	1	111									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	112									
6	5	17	17	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	113									6
6	5	35/2	35/2	1.0	1/8	1/8	Chord	4/4	3	2	1/4	1/4	1	114									
6	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	115									
6	5	19	19	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	116									7
6	5	39/2	39/2	1.0	5/8	5/8	Chord	4/4	3	2	1/4	1/4	1	117									
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	118									
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	119	ganz	dank-	eu-						
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	120	be-	-te	-er						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	121	-dacht,	Gott,	bleib'						
7	6	24	24	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0	
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	122	das	und	im						
7	6	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	123									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	124									
7	6	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	125									
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	126									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	127									
7	6	24	24	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	128									
7	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	129									
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	130									
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	131									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	132									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	133									
7	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	134									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	135									
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	136									
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	137									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	138									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	139									
7	6	21	21	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	140									
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	141									
7	6	22	22	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	142									
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	143									
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	144									
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	145									
8	7	25	25	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	146	selb'	sprach	Tod						
8	7	26	26	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	147	uns	zu	und						
8	7	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0							𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	148	zu	sei-	auch						
8	7	28	28	0.0	3/4	3/4	Tempo	4/4	1	1	0							𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	149	er-	-nen	im						
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	150									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	151									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	152									
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	153									
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	154									
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	155									
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	156									
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	157									
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	158									
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	159									
8	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	160									
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	161									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	162									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	163									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	164									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	165									
8	7	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	166									
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	167									
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	168									
8	7	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	169									
8	7	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	170									
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	171									
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0							𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
9	8	29	29	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	172	-stat-	Jün-	Le-						
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0							𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0	
9	8	61/2	61/2	0.0	3/8	3/8	Tempo	4/4	1	1	0							𝅘𝅥=59	59.0	𝅘𝅥	59.0	0.0	
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	173	-ten.	-gern:	-ben.						
9	8	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	174									8
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	175									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	176									
9	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	177									9
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	178									9
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	179									9
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	180									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	181									
9	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	182									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	183									
9	8	29	29	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	184									
9	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	185									
