mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
5	4	9	9	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	70							
5	4	10	10	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	71							
5	4	21/2	21/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	72							
5	4	11	11	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	73							
5	4	23/2	23/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	74							
5	4	12	12	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	75							
5	4	25/2	25/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	76							
6	5	13	13	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	77	un-						
6	5	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	78	-sers						
6	5	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	79	Her-						
6	5	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	80	-zens						
6	5	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	81							
6	5	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	82							
6	5	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	83							
6	5	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	84							
6	5	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	85							
6	5	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	86							
6	5	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	87							
6	5	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	88							
6	5	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	89							
6	5	13	13	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	90							
6	5	27/2	27/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	91							
6	5	14	14	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	92							
6	5	29/2	29/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	93							
6	5	15	15	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	94							
6	5	31/2	31/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	95							
6	5	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	96							
6	5	13	13	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	97							
6	5	27/2	27/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	98							
6	5	14	14	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	99							
6	5	29/2	29/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	100							
6	5	15	15	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	101							
6	5	31/2	31/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	102							
6	5	16	16	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	103							
7	6	17	17	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	104	Grun-						
7	6	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	105	-de;						
7	6	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	106	denn						
7	6	17	17	1.5	0	0	Chord	4/4	1	2	3/8	1/4	3/2	107							0
7	6	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	108							
7	6	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	109							
7	6	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	110							
7	6	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	111							1
7	6	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	112							
7	6	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	113							
7	6	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	114							
7	6	17	17	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	115							
7	6	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	116							
7	6	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	117							
7	6	17	17	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	118							
7	6	19	19	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	119							
7	6	20	20	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	120							
8	7	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	121	Gott						
8	7	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	122	hat						
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	123	heut'						
8	7	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	124	ge-						
8	7	21	21	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	125							
8	7	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	126							
8	7	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	127							
8	7	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	128							
8	7	24	24	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	129							
8	7	49/2	49/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	130							
8	7	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	131							
8	7	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	132							
8	7	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	133							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	134							
8	7	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	135							
8	7	22	22	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	136							
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	137							
8	7	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	138							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	139							
8	7	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	140							
8	7	22	22	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	141							
8	7	45/2	45/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	142							
8	7	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	143							
8	7	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	144							
9	8	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	145	-macht						
9	8	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	146	solch						
9	8	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	147	Freud';						
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	148	der						
9	8	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	149							
9	8	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	150							
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	151							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	152							
9	8	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	153							
9	8	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	154							
9	8	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	155							
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	156							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	157							
9	8	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	158							
9	8	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	159							
9	8	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	160							
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	161							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	162							
9	8	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	163							
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	164							
9	8	25	25	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	165							
9	8	26	26	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	166							
9	8	53/2	53/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	167							
9	8	27	27	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	168							
9	8	28	28	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	169							
9	8	57/2	57/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	170							
10	9	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	171	wir						
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	172	ver-						
10	9	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	173	-ges-						
10	9	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	174	-sen						
10	9	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	175							
10	9	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	176							
10	9	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	177							
10	9	31	31	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	178							
10	9	63/2	63/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	179							
10	9	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	180							
10	9	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	181							
10	9	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	182							
10	9	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	183							
10	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	184							
10	9	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	185							
10	9	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	186							
10	9	29	29	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	187							
10	9	30	30	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	188							
10	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	189							
10	9	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	190							
10	9	32	32	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	191							
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	192							
10	9	29	29	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	193							
10	9	30	30	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	194							
10	9	61/2	61/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	195							
10	9	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	196							
10	9	32	32	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	197							
10	9	65/2	65/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	198							
11	10	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	199	soll'n						
11	10	34	34	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0	
11	10	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	200	zu						
11	10	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	201	kei-						
11	10	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	202	-ner						
11	10	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	203							
11	10	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	204							
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	205							
11	10	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	206							
11	10	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	207							
11	10	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	208							
11	10	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	209							
11	10	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	210							
11	10	35	35	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	211							
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	212							
11	10	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	213							
11	10	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	214							
11	10	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	215							
11	10	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	216							
11	10	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	217							
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	218							
11	10	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	219							
11	10	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	220							
11	10	34	34	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	221							
11	10	35	35	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	222							
11	10	71/2	71/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	223							
11	10	36	36	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	224							
12	11	37	37	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
12	11	37	37	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	225	Stun-						
12	11	77/2	77/2	0.0	3/8	3/8	Tempo	4/4	1	1	0					𝅘𝅥=69	69.0	𝅘𝅥	69.0	0.0	
12	11	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	226	-de.						
12	11	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	227							2
12	11	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	228							
12	11	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	229							
12	11	37	37	1.5	0	0	Chord	4/4	2	1	3/8	1/4	3/2	230							3
12	11	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	231							
12	11	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	232							
12	11	37	37	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	233							
12	11	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	234							
12	11	37	37	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	235							
12	11	39	39	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	236							
