mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
8	8	28	28	2.0		0	0	Chord	4/4	11	1	1/2		1/2	1	230	Her-	uns							
8	8	30	30	2.0		1/2	1/2	Chord	4/4	11	1	1/2		1/2	1	231	-zen,	und							
8	8	28	28	2.0		0	0	Chord	4/4	11	2	1/2		1/2	1	232									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	11	2	1/2		1/2	1	233									
8	8	28	28	2.0		0	0	Chord	4/4	12	1	1/2		1/2	1	234									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	12	1	1/2		1/2	1	235									
8	8	28	28	2.0		0	0	Chord	4/4	12	2	1/2		1/2	1	236									
8	8	30	30	2.0		1/2	1/2	Chord	4/4	12	2	1/2		1/2	1	237									
8	8	28	28	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	238									
8	8	30	30	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	239									
8	8	28	28	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	240									
8	8	30	30	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	241									
9	9	32	32	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	242									
9	9	33	33	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	243									
9	9	35	35	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	244									
9	9	71/2	71/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	245									
9	9	32	32	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	246									
9	9	33	33	1.0		1/4	1/4	Chord	4/4	1	2	1/4		1/4	1	247									
9	9	35	35	1.0		3/4	3/4	Chord	4/4	1	2	1/4		1/4	1	248									
9	9	32	32	2.0		0	0	Chord	4/4	2	1	1/2	r8	1/2	1	249									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	2	1	1/2	r8	1/2	1	250									
9	9	32	32	2.0		0	0	Chord	4/4	3	1	1/2		1/2	1	251									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	3	1	1/2		1/2	1	252									
9	9	32	32	2.0		0	0	Chord	4/4	4	1	1/2		1/2	1	253									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	4	1	1/2		1/2	1	254									
9	9	32	32	2.0		0	0	Chord	4/4	5	1	1/2		1/2	1	255									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	5	1	1/2		1/2	1	256									
9	9	32	32	2.0		0	0	Chord	4/4	6	1	1/2		1/2	1	257									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	6	1	1/2		1/2	1	258									
9	9	32	32	2.0		0	0	Chord	4/4	7	1	1/2		1/2	1	259									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	7	1	1/2		1/2	1	260									
9	9	32	32	2.0		0	0	Chord	4/4	8	2	1/2		1/2	1	261									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	262									
9	9	32	32	2.0		0	0	Chord	4/4	9	1	1/2		1/2	1	263									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	9	1	1/2		1/2	1	264									
9	9	32	32	2.0		0	0	Chord	4/4	10	1	1/2		1/2	1	265									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	10	1	1/2		1/2	1	266									
9	9	32	32	2.0		0	0	Chord	4/4	11	1	1/2		1/2	1	267	Mund	al-							
9	9	34	34	2.0		1/2	1/2	Chord	4/4	11	1	1/2		1/2	1	268	und	-len							
9	9	32	32	2.0		0	0	Chord	4/4	11	2	1/2		1/2	1	269									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	11	2	1/2		1/2	1	270									
9	9	32	32	2.0		0	0	Chord	4/4	12	1	1/2		1/2	1	271									
9	9	34	34	2.0		1/2	1/2	Chord	4/4	12	1	1/2		1/2	1	272									
9	9	32	32	1.0		0	0	Chord	4/4	12	2	1/4		1/4	1	273									2
9	9	33	33	1.0		1/4	1/4	Chord	4/4	12	2	1/4		1/4	1	274									
9	9	34	34	1.0		1/2	1/2	Chord	4/4	12	2	1/4		1/4	1	275									3
9	9	35	35	1.0		3/4	3/4	Chord	4/4	12	2	1/4		1/4	1	276									
9	9	32	32	1.0		0	0	Chord	4/4	13	1	1/4		1/4	1	277									
9	9	34	34	1.0		1/2	1/2	Chord	4/4	13	1	1/4		1/4	1	278									
9	9	32	32	1.0		0	0	Chord	4/4	14	1	1/4		1/4	1	279									
9	9	34	34	1.0		1/2	1/2	Chord	4/4	14	1	1/4		1/4	1	280									
10	10	36	36	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	281									
10	10	73/2	73/2	0.5		1/8	1/8	Chord	4/4	1	1	1/8		1/8	1	282									
10	10	37	37	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	283									
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	1	1	1/8		1/8	1	284									
10	10	38	38	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	285									
10	10	77/2	77/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	286									
10	10	39	39	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	287									
10	10	79/2	79/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	288									
10	10	36	36	1.0		0	0	Chord	4/4	1	2	1/4		1/4	1	289									
10	10	37	37	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	290									
10	10	75/2	75/2	0.5		3/8	3/8	Chord	4/4	1	2	1/8		1/8	1	291									
10	10	38	38	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	292									
10	10	36	36	2.0		0	0	Chord	4/4	2	1	1/2	r8	1/2	1	293									
10	10	38	38	2.0		1/2	1/2	Chord	4/4	2	1	1/2	r8	1/2	1	294									
10	10	36	36	4.0		0	0	Chord	4/4	3	1	1		1	1	295									
10	10	36	36	4.0		0	0	Chord	4/4	4	1	1		1	1	296									
10	10	36	36	4.0		0	0	Chord	4/4	5	1	1		1	1	297									
10	10	36	36	4.0		0	0	Chord	4/4	6	1	1		1	1	298									
10	10	36	36	4.0		0	0	Chord	4/4	7	1	1		1	1	299									
10	10	36	36	2.0		0	0	Chord	4/4	8	2	1/2		1/2	1	300									4
10	10	38	38	2.0		1/2	1/2	Chord	4/4	8	2	1/2		1/2	1	301									
10	10	36	36	3.0		0	0	Chord	4/4	9	1	3/4		1/2	3/2	302									5
10	10	39	39	1.0		3/4	3/4	Chord	4/4	9	1	1/4		1/4	1	303									
10	10	36	36	4.0		0	0	Chord	4/4	10	1	1		1	1	304									
10	10	36	36	4.0		0	0	Chord	4/4	11	1	1		1	1	305	Hän-	En-							
