mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	lyrics_3	lyrics_4	staff_text	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	4	16	16	1.0	0	3/4	Chord	4/4	1	1	1/4	1/4	1	93	Drum	Gott									
6	4	16	16	1.0	0	3/4	Chord	4/4	1	2	1/4	1/4	1	94											
6	4	16	16	1.0	0	3/4	Chord	4/4	2	1	1/4	1/4	1	95											
6	4	16	16	0.5	0	3/4	Chord	4/4	2	2	1/8	1/8	1	96											
6	4	33/2	33/2	0.5	1/8	7/8	Chord	4/4	2	2	1/8	1/8	1	97											
7	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	98	dank,	hat									
7	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	99	ach	es									
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	100	Gott,	Al-									
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	101	drum	-les									
7	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	102											
7	5	18	18	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	103											
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	104											
7	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	105											
7	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	106											
7	5	17	17	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	107											
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	108											
7	5	18	18	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	109											
7	5	37/2	37/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	110											
7	5	19	19	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	111											
7	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	112											
7	5	20	20	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	113											
7	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	114											
7	5	17	17	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	115											
7	5	35/2	35/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	116											
7	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	117											
7	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	118											
7	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	119											
8	6	21	21	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	120	dank'	wohl									
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	121											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	122	ich	be-									
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	123	dir;	-dacht									
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	124	ach	und									
8	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	125											
8	6	22	22	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	126											
8	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	127											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	128											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	129											
8	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	130											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	131											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	132											
8	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	133											
8	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	134											
8	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	135											
8	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	136											
8	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	137											
8	6	24	24	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	138											
8	6	49/2	49/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	139											
9	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	140	dan-	Al-									
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	141	-ket,	-les,									
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	142	dan-	Al-									
9	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	143	-ket	-les									
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	144											
9	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	145											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	146											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	147											
9	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	148											
9	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	149											
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	150											
9	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	151											
9	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	152											
9	7	28	28	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	153											
9	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	154											
9	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	155											
9	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	156											
9	7	26	26	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	157											
9	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	158											
9	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	159											
9	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	160											
9	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	161											
10	8	29	29	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
10	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	162	Gott	wohl									
10	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
10	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	163	mit	ge-									
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	164	mir!	-macht!									
10	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	165	Gebt	Gebt									
10	8	29	29	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	166											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	167											
10	8	30	30	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	168											
10	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	169											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	170											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	171											
10	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	172											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	173											
10	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	174											4
10	8	61/2	61/2	0.25	3/8	3/8	Chord	4/4	2	1	1/16	1/16	1	175											4
10	8	123/4	123/4	0.25	7/16	7/16	Chord	4/4	2	1	1/16	1/16	1	176											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	177											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	178											
10	8	29	29	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	179											
10	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	180											
10	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	181											
10	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	182											
10	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	183											
11	9	33	33	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	184	un-	un-									
11	9	67/2	67/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	185											
11	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	186	-serm	-serm									
11	9	35	35	0.0	1/2	1/2	Tempo	4/4	1	1	0									𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
11	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	187	Gott	Gott									
11	9	36	36	0.0	3/4	3/4	Tempo	4/4	1	1	0									𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	188	die	die									
11	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	189											
11	9	34	34	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	190											
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	191											
11	9	35	35	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	192											
11	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	193											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	194											
11	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	195											
11	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	196											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	197											
11	9	36	36	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	198											
11	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	199											
11	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	200											
11	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	201											
11	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	202											
11	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	203											
11	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	204											
12	10	37	37	0.0	0	0	Tempo	4/4	1	1	0									𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0	
12	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	205	Eh-	Eh-									5
12	10	38	38	0.0	1/4	1/4	Tempo	4/4	1	1	0									𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0	
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	206											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	207	-re!	-re!									
12	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	208											6
12	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	209											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	210											
12	10	37	37	2.0	0	0	Chord	4/4	2	1	1/2	1/2	1	211											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	212											
12	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	213											7
12	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	214											
12	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	215											
