mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	tempo	qpm	metronome_base	metronome_number	tempo_visible
3	2	5	5	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	29						
3	2	6	6	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	30						
3	2	7	7	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	31						
3	2	8	8	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	32						
3	2	5	5	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	33						
3	2	6	6	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	34						
3	2	13/2	13/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	35						
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	36						
3	2	8	8	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	37						
3	2	5	5	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	38						
3	2	6	6	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	39						
3	2	7	7	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	40						
3	2	8	8	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	41						
3	2	17/2	17/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	42						
4	3	9	9	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=77.8	78.0	𝅘𝅥	77.8	0.0
4	3	9	9	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	43	dan-					
4	3	10	10	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	44	-ken					
4	3	21/2	21/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	45						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	46	dir,					
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	47	Herr					
4	3	9	9	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	48						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	49						
4	3	11	11	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	50						
4	3	23/2	23/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	51						
4	3	12	12	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	52						
4	3	9	9	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	53						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	54						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	55						
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	56						
4	3	9	9	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	57						
4	3	10	10	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	58						
4	3	11	11	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	59						
4	3	12	12	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	60						
5	4	13	13	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=78	78.0	𝅘𝅥	78.0	0.0
5	4	13	13	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	61	Je-					
5	4	27/2	27/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	62						
5	4	14	14	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
5	4	14	14	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	63	-su					
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	64	Christ,					
5	4	16	16	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=77	76.0	𝅘𝅥	77.0	0.0
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	65	dass					
5	4	13	13	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	66						
5	4	14	14	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	67						
5	4	29/2	29/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	68						
5	4	15	15	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	69						
5	4	16	16	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	70						
5	4	13	13	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	71						
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	72						
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	73						
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	74						
5	4	13	13	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	75						
5	4	14	14	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	76						
5	4	15	15	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	77						
5	4	16	16	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	78						
6	5	17	17	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	79	du					
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	80	uns					
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	81	in					
6	5	20	20	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	82	so					
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	83						
6	5	17	17	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	84						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	85						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	86						
6	5	20	20	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	87						
6	5	17	17	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	88						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	89						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	90						
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	91						
6	5	17	17	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	92						
6	5	18	18	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	93						
6	5	19	19	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	94						
6	5	20	20	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	95						
7	6	21	21	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=77	77.0	𝅘𝅥	77.0	0.0
7	6	21	21	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	96	gro-					
7	6	22	22	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	97	sser					
7	6	45/2	45/2	0.0	3/8	3/8	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	98	G'fahr					
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	99	be-					
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	100						
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	101						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	102						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	103						
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	104						
7	6	22	22	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	105						
7	6	45/2	45/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	106						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	107						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	108						
7	6	21	21	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	109						
7	6	43/2	43/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	110						
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	111						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	112						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	113						
8	7	25	25	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=76	76.0	𝅘𝅥	76.0	0.0
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	114	-hü-					
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	115	-tet					
8	7	27	27	0.0	1/2	1/2	Tempo	4/4	1	1	0					𝅘𝅥=75	75.0	𝅘𝅥	75.0	0.0
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	116	hast					
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	117	lang'					
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	118						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	119						
8	7	27	27	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	120						
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	121						
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	2	1/8	1/8	1	122						
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	2	1/8	1/8	1	123						
8	7	25	25	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	124						
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	125						
8	7	26	26	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	126						
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	127						
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	128						
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	129						
8	7	25	25	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	130						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	131						
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	132						
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	133						
8	7	28	28	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	134						
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	135						
9	8	29	29	0.5	0	0	Chord	4/4	1	1	1/8	1/8	1	136	Zeit					
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	1	1	1/8	1/8	1	137						
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	138	und					
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	139	Jahr;					
9	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=74.6	75.0	𝅘𝅥	74.6	0.0
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	140	dass					
9	8	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	141						
9	8	30	30	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	142						
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	143						
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	144						
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	145						
9	8	29	29	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	146						
9	8	59/2	59/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	147						
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	148						
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	149						
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	150						
9	8	29	29	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	151						
9	8	30	30	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	152						
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	153						
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	154						
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	155	du					
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	156	uns					
10	9	35	35	0.5	1/2	1/2	Chord	4/4	1	1	1/8	1/8	1	157	in					
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	1	1	1/8	1/8	1	158						
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	159	so					
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	160						
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	161						
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	162						
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	163						
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	164						
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	165						
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	166						
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	167						
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	168						
10	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	169						
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	170						
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	171						
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	172						
11	10	37	37	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0
11	10	37	37	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	173	gro-					
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	174	-sser					
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	175	G'fahr					
11	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0					𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	176	be-					
11	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	177						
11	10	38	38	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	178						
11	10	39	39	0.5	1/2	1/2	Chord	4/4	1	2	1/8	1/8	1	179						
11	10	79/2	79/2	0.5	5/8	5/8	Chord	4/4	1	2	1/8	1/8	1	180						
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	181						
11	10	37	37	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	182						
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	183						
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	184						
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	185						
11	10	37	37	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	186						
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	187						
11	10	38	38	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	188						
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	189						
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	190						
11	10	40	40	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	191						
12	11	41	41	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	192	-hü-					
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	193	-tet					
12	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0					𝅘𝅥=70	70.0	𝅘𝅥	70.0	0.0
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	194	hast					
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	195	lang'					
12	11	41	41	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	196						
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	197						
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	198						
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	199						
12	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	200						
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	201						
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	1	1/8	1/8	1	202						
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	1	1/8	1/8	1	203						
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	204						
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	205						
12	11	41	41	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	206						
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	207						
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	208						
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	209						
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	210						
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	211						
13	12	45	45	0.0	0	0	Tempo	4/4	1	1	0					𝅘𝅥=68	68.0	𝅘𝅥	68.0	0.0
13	12	45	45	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	212	Zeit					
13	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0					𝅘𝅥=60	60.0	𝅘𝅥	60.0	0.0
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	213	und					
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	214	Jahr.					
13	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	215						
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	216						
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	217						
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	218						
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	219						
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	220						
13	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	221						
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	222						
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	223						
