mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	lyrics_2	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
6	5	19	19	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	100								
6	5	39/2	39/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	101								
6	5	20	20	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	102								
6	5	41/2	41/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	103								
7	6	21	21	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	104	mei-	lei-						
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	105	-den,	-ten,						
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	106	was	Herr						
7	6	21	21	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	107								0
7	6	22	22	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	108								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	109								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	110								
7	6	21	21	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	111								1
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	112								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	113								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	114								
7	6	21	21	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	115								2
7	6	22	22	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	116								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	117								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	118								
7	6	21	21	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	119								3
7	6	22	22	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	120								
7	6	23	23	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	121								
7	6	24	24	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	122								
8	7	25	25	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	123	mich	Christ,						
8	7	26	26	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	124	und	zu						
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	125	dich	al-						
8	7	28	28	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	126	kann	-len						
8	7	57/2	57/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	127								
8	7	25	25	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	128								
8	7	26	26	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	129								
8	7	53/2	53/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	130								
8	7	27	27	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	131								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	132								
8	7	25	25	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	133								
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	134								
8	7	27	27	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	135								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	136								
8	7	25	25	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	137								
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	138								
8	7	26	26	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	139								
8	7	27	27	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	140								
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	141								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	142								
8	7	25	25	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	143								
8	7	51/2	51/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	144								
8	7	26	26	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	145								
8	7	27	27	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	146								
8	7	55/2	55/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	147								
8	7	28	28	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	148								
9	8	29	29	0.0	0	0	Tempo	4/4	1	1	0						𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
9	8	29	29	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	149	schei-	Zei-						4
9	8	30	30	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=64	64.0	𝅘𝅥	64.0	0.0	4
9	8	30	30	0.5	1/4	1/4	Chord	4/4	1	1	1/8	1/8	1	150								4
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	151								
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	152	-den,	-ten,						
9	8	32	32	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=74	74.0	𝅘𝅥	74.0	0.0	
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	153	und	auf						
9	8	29	29	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	154								5
9	8	30	30	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	155								
9	8	31	31	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	156								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	157								
9	8	29	29	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	158								6
9	8	30	30	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	159								6
9	8	61/2	61/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	160								
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	161								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	162								
9	8	29	29	2.0	0	0	Chord	4/4	2	2	1/2	1/2	1	163								
9	8	31	31	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	164								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	2	2	1/4	1/4	1	165								
9	8	29	29	2.0	0	0	Chord	4/4	3	2	1/2	1/2	1	166								
9	8	31	31	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	167								
9	8	32	32	1.0	3/4	3/4	Chord	4/4	3	2	1/4	1/4	1	168								
10	9	33	33	1.0	0	0	Chord	4/4	1	1	1/4	1/4	1	169	ich	dass						
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	1	1/4	1/4	1	170	an	wir						
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	171	dei-	dei-						
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	172	-nem	-nen						
10	9	33	33	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	173								
10	9	34	34	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	174								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	175								
10	9	36	36	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	176								
10	9	33	33	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	177								
10	9	34	34	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	178								
10	9	35	35	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	179								
10	9	36	36	1.0	3/4	3/4	Chord	4/4	2	1	1/4	1/4	1	180								
10	9	33	33	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	181								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	2	2	1/8	1/8	1	182								
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	2	2	1/8	1/8	1	183								
10	9	35	35	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	184								
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	185								
10	9	36	36	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	186								
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	187								
10	9	33	33	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	188								
10	9	34	34	0.5	1/4	1/4	Chord	4/4	3	2	1/8	1/8	1	189								
10	9	69/2	69/2	0.5	3/8	3/8	Chord	4/4	3	2	1/8	1/8	1	190								
10	9	35	35	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	191								
10	9	71/2	71/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	192								
10	9	36	36	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	193								
10	9	73/2	73/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	194								
11	10	37	37	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	195	Lei-	Na-						
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	196	-be	-men						
11	10	40	40	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=73	73.0	𝅘𝅥	73.0	0.0	
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	1	1/4	1/4	1	197	ein	e-						
11	10	37	37	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	198								7
11	10	38	38	0.5	1/4	1/4	Chord	4/4	1	2	1/8	1/8	1	199								7
11	10	77/2	77/2	0.5	3/8	3/8	Chord	4/4	1	2	1/8	1/8	1	200								
11	10	39	39	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	201								
11	10	40	40	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	202								
11	10	37	37	0.5	0	0	Chord	4/4	2	1	1/8	1/8	1	203								8
11	10	75/2	75/2	0.5	1/8	1/8	Chord	4/4	2	1	1/8	1/8	1	204								8
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	205								
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	206								
11	10	40	40	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	207								
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	208								
11	10	37	37	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	209								9
11	10	38	38	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	210								
11	10	39	39	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	211								
11	10	40	40	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	212								
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	213								
11	10	37	37	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	214								10
11	10	38	38	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	215								
11	10	39	39	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	216								
11	10	40	40	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	217								
11	10	81/2	81/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	218								
12	11	41	41	1.5	0	0	Chord	4/4	1	1	3/8	1/4	3/2	219	Glied-	-wig-						
12	11	85/2	85/2	0.5	3/8	3/8	Chord	4/4	1	1	1/8	1/8	1	220	-mass	-lich						
12	11	43	43	0.0	1/2	1/2	Tempo	4/4	1	1	0						𝅘𝅥=72	72.0	𝅘𝅥	72.0	0.0	
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	221	e-	prei-						
12	11	44	44	0.0	3/4	3/4	Tempo	4/4	1	1	0						𝅘𝅥=71	71.0	𝅘𝅥	71.0	0.0	
12	11	44	44	0.5	3/4	3/4	Chord	4/4	1	1	1/8	1/8	1	222	-wig	-sen:						
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	1	1	1/8	1/8	1	223								
12	11	41	41	0.5	0	0	Chord	4/4	1	2	1/8	1/8	1	224								
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	1	2	1/8	1/8	1	225								
12	11	42	42	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	226								
12	11	43	43	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	227								
12	11	44	44	1.0	3/4	3/4	Chord	4/4	1	2	1/4	1/4	1	228								
12	11	41	41	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	229								
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	1	1/4	1/4	1	230								
12	11	43	43	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	231								
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	1	1/8	1/8	1	232								
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	1	1/8	1/8	1	233								
12	11	41	41	0.5	0	0	Chord	4/4	2	2	1/8	1/8	1	234								
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	2	2	1/8	1/8	1	235								
12	11	42	42	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	236								
12	11	43	43	0.5	1/2	1/2	Chord	4/4	2	2	1/8	1/8	1	237								
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	2	2	1/8	1/8	1	238								
12	11	44	44	0.5	3/4	3/4	Chord	4/4	2	2	1/8	1/8	1	239								
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	2	2	1/8	1/8	1	240								
12	11	41	41	0.5	0	0	Chord	4/4	3	2	1/8	1/8	1	241								
12	11	83/2	83/2	0.5	1/8	1/8	Chord	4/4	3	2	1/8	1/8	1	242								
12	11	42	42	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	243								
12	11	43	43	0.5	1/2	1/2	Chord	4/4	3	2	1/8	1/8	1	244								
12	11	87/2	87/2	0.5	5/8	5/8	Chord	4/4	3	2	1/8	1/8	1	245								
12	11	44	44	0.5	3/4	3/4	Chord	4/4	3	2	1/8	1/8	1	246								
12	11	89/2	89/2	0.5	7/8	7/8	Chord	4/4	3	2	1/8	1/8	1	247								
13	12	45	45	2.0	0	0	Chord	4/4	1	1	1/2	1/2	1	248	blei-	A-						
13	12	46	46	0.0	1/4	1/4	Tempo	4/4	1	1	0						𝅘𝅥=61	61.0	𝅘𝅥	61.0	0.0	
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	1	1/4	1/4	1	249	-be.	-men.						
13	12	45	45	1.0	0	0	Chord	4/4	1	2	1/4	1/4	1	250								11
13	12	46	46	1.0	1/4	1/4	Chord	4/4	1	2	1/4	1/4	1	251								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	1	2	1/4	1/4	1	252								
13	12	45	45	1.0	0	0	Chord	4/4	2	1	1/4	1/4	1	253								12
13	12	46	46	0.5	1/4	1/4	Chord	4/4	2	1	1/8	1/8	1	254								12
13	12	93/2	93/2	0.5	3/8	3/8	Chord	4/4	2	1	1/8	1/8	1	255								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	1	1/4	1/4	1	256								
13	12	45	45	1.0	0	0	Chord	4/4	2	2	1/4	1/4	1	257								13
13	12	46	46	1.0	1/4	1/4	Chord	4/4	2	2	1/4	1/4	1	258								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	2	2	1/4	1/4	1	259								
13	12	45	45	1.0	0	0	Chord	4/4	3	2	1/4	1/4	1	260								14
13	12	46	46	1.0	1/4	1/4	Chord	4/4	3	2	1/4	1/4	1	261								
13	12	47	47	1.0	1/2	1/2	Chord	4/4	3	2	1/4	1/4	1	262								
